path	physical_role	authority_effect
Knowledge/KNW-001_KNOWLEDGE_MODEL.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-002_KNOWLEDGE_CLASSIFICATION.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-003_KNOWLEDGE_RELATIONSHIPS.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-004_KNOWLEDGE_LIFECYCLE.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-005_KNOWLEDGE_GOVERNANCE.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-006_KNOWLEDGE_QUALITY.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-007_KNOWLEDGE_BASELINE.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-008_KNOWLEDGE_TRACEABILITY.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-009_KNOWLEDGE_EVOLUTION.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/KNW-010_KNOWLEDGE_MAINTENANCE.md	DECLARED_CANONICAL_KNW_ARTIFACT	NONE_FROM_ALLOCATION
Knowledge/Learning/EVIDENCE_FEEDBACK_LOOP.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/KNOWLEDGE_RECORD_SCHEMA.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/KNOWLEDGE_REUSE_POLICY.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/LEARNING_EVIDENCE_SCHEMA.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_CONTEXT_RETRIEVAL_EXPERIMENT_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_EVIDENCE_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_EXPECTATIONS_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_EXPERIMENT_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_FIXTURE_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_PROMOTED_RECORD_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_PROMOTION_CANDIDATE_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_PROMOTION_DECISION_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_TEST_PLAN_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_LEARNING_VALIDATION_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/SYNTHETIC_REUSE_EXPERIMENT_001.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/TASK_CONTEXT_ENVELOPE.md	LEARNING_EVIDENCE_SCHEMA_OR_RECORD	NONE_FROM_ALLOCATION
Knowledge/Learning/contextual_retrieval.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/experience_spine.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/knowledge_correction.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/knowledge_promotion.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/knowledge_retrieval.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/promotion_gate_adapter.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/synthetic_function_fixture.py	LEARNING_EXECUTABLE_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_contextual_retrieval.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
Knowledge/Learning/test_experience_spine.py	LEARNING_TEST_SUPPORT	NONE_FROM_ALLOCATION
