path	domain	artifact_class	allocation_state	authority_effect
Runtime/Context/runtime_context_pipeline.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Context/runtime_task_context.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Context/test_runtime_context_pipeline.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Context/test_runtime_task_context.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/DECISION_EXPLANATION_COMPLETENESS_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/DECISION_EXPLANATION_PROVENANCE_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/DECISION_REPLAY_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/DECISION_TEMPORAL_REPLAY_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/decision_explanation.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/decision_explanation_completeness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/decision_replay.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/decision_temporal_replay.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/test_decision_explanation.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/test_decision_explanation_completeness.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/test_decision_replay.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Decision/test_decision_temporal_replay.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/COGNITION_GATE_INTEGRATION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/CROSS_SESSION_CYCLE_INTEGRITY_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/END_TO_END_SYNTHETIC_SCENARIO_001.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/END_TO_END_TRACEABILITY_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/EVIDENCE_DECISION_CONTINUITY_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/EXECUTION_ADAPTER_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/EXECUTION_AUTHORIZATION_HANDOFF.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/EXECUTION_STATE_TRANSITION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/MOCK_EXECUTION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/MOCK_EXECUTOR_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/STATE_BEHAVIOR_TEST_MATRIX.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/TWO_SESSION_END_TO_END_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/connected_spine_runner.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/cycle_integrity_validator.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/end_to_end_session_cycle.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/end_to_end_trace.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/evidence_decision_continuity.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/execution_entrypoint.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/execution_plan.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/execution_trace_producer.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/execution_trace_record.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/mock_executor.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/mock_executor_v2.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/run010_handoff_contract.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/synthetic_task_fixture.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_connected_spine_clear_path.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_connected_spine_hold_gate.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_connected_spine_runner.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_connected_spine_state_matrix.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_cycle_integrity_validator.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_end_to_end_mock_execution.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_end_to_end_session_cycle.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_end_to_end_trace.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_end_to_end_traceability.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_evidence_decision_continuity.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_execution_entrypoint.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_execution_trace_producer.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_execution_trace_record.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_mock_executor.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_mock_executor_authorization_boundary.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Execution/test_mock_executor_v2.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Integration/runtime_connector_handoff.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Integration/test_runtime_connector_handoff.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/DECISION_OUTCOME_FEEDBACK_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/FEEDBACK_QUALITY_GATE_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/LEARNING_PIPELINE_INTEGRATION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/LEARNING_READINESS_REPORT_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/OUTCOME_EVALUATION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/decision_outcome_feedback.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/feedback_quality_gate.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/learning_pipeline_integration.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/learning_readiness_report.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/outcome_evaluator.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/outcome_producer.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_decision_outcome_feedback.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_feedback_quality_gate.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_learning_pipeline_integration.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_learning_readiness_report.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_outcome_evaluator.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Learning/test_outcome_producer.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/CONTROLLED_HANDOFF.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/ENG006_SRV009_ADAPTER_CONTRACT.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/MULTI_CHANNEL_MULTI_TASK_TRAINING_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/PROTOTYPE_INTEGRATION_CONTRACT.md	Runtime	SUPPORTING_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/README.md	Runtime	NAVIGATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/TEST_EXECUTION_REPORT.md	Runtime	EVIDENCE_REPORT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/acceptance_scenarios.json	Runtime	TEST_FIXTURE	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/cognitive_loop_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/controlled_execution_gate.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/learning_promotion_gate.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/multi_channel_m1_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/multi_channel_m2_proposal_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/multi_channel_m3_reconciliation_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/multi_channel_m4_multi_user_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/multi_source_m5_intake_harness.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/pytest.ini	Runtime	TEST_CONFIGURATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/run_acceptance_scenarios.py	Runtime	IMPLEMENTATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_acceptance_scenario_runner.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_cognitive_loop_harness.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_cognitive_loop_harness_edge_cases.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_controlled_execution_gate.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_learning_promotion_edge_cases.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_learning_promotion_gate.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/test_trace_schema.py	Runtime	TEST	ALLOCATED	NONE_BY_ALLOCATION
Runtime/Prototype/trace_schema.json	Runtime	SCHEMA	ALLOCATED	NONE_BY_ALLOCATION
Runtime/README.md	Runtime	NAVIGATION	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-001_BOOT_SEQUENCE.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-002_INITIALIZATION.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-003_CONFIGURATION.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-004_CONTEXT_LOADING.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-005_RUNTIME_WORKFLOW.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-006_AI_PROTOCOL.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-007_RUNTIME_SECURITY.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-008_RUNTIME_STATE.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-009_RECOVERY.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-010_RUNTIME_REFERENCE.md	Runtime	CANONICAL_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-011_COGNITIVE_LOOP_PROTOTYPE.md	Runtime	CANDIDATE_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-012_COGNITIVE_LOOP_TEST_MATRIX.md	Runtime	CANDIDATE_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-013_CONTROLLED_HANDOFF.md	Runtime	CANDIDATE_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-014_LEARNING_PROMOTION_TEST.md	Runtime	CANDIDATE_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/RUN-015_RUNTIME_PROTOTYPE_CI_VALIDATION.md	Runtime	CANDIDATE_RUNTIME_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Runtime/_FOLDER_STATUS.md	Runtime	STATUS_EVIDENCE	ALLOCATED	NONE_BY_ALLOCATION
