id	source	target	type	target_path	evidence_class	state
REL-168	KNW-001	MEM-001	REFERENCES	Memory/MEM-001_MEMORY_MODEL.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-169	KNW-001	MEM-004	REFERENCES	Memory/MEM-004_MEMORY_LIFECYCLE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-170	KNW-001	MEM-005	REFERENCES	Memory/MEM-005_MEMORY_GOVERNANCE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-171	KNW-001	MEM-009	REFERENCES	Memory/MEM-009_MEMORY_EVOLUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-172	KNW-001	ENG-007	REFERENCES	Engine/ENG-007_LEARNING_ENGINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-173	KNW-002	MEM-001	REFERENCES	Memory/MEM-001_MEMORY_MODEL.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-174	KNW-002	MEM-005	REFERENCES	Memory/MEM-005_MEMORY_GOVERNANCE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-175	KNW-002	ENG-007	REFERENCES	Engine/ENG-007_LEARNING_ENGINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-176	KNW-002	REP-001	REFERENCES	Repository/REP-001_MASTER_INDEX.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-177	KNW-003	REP-009	REFERENCES	Repository/REP-009_REPOSITORY_TRACEABILITY.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-178	KNW-003	ARC-003	REFERENCES	Architecture/ARC-003_INFORMATION_FLOW.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-179	KNW-003	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-180	KNW-004	REP-006	REFERENCES	Repository/REP-006_REPOSITORY_LIFECYCLE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-181	KNW-004	REP-009	REFERENCES	Repository/REP-009_REPOSITORY_TRACEABILITY.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-182	KNW-004	LIF-001	REFERENCES	Lifecycle/LIF-001_DOCUMENT_LIFECYCLE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-183	KNW-004	GOV-005	REFERENCES	Governance/GOV-005_REVIEW_STANDARD.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-184	KNW-004	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-185	KNW-005	MEM-001	REFERENCES	Memory/MEM-001_MEMORY_MODEL.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-186	KNW-005	MEM-005	REFERENCES	Memory/MEM-005_MEMORY_GOVERNANCE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-187	KNW-005	MEM-009	REFERENCES	Memory/MEM-009_MEMORY_EVOLUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-188	KNW-005	ENG-007	REFERENCES	Engine/ENG-007_LEARNING_ENGINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-189	KNW-005	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-190	KNW-006	REP-003	REFERENCES	Repository/REP-003_REPOSITORY_STANDARDS.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-191	KNW-006	REP-009	REFERENCES	Repository/REP-009_REPOSITORY_TRACEABILITY.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-192	KNW-006	GOV-005	REFERENCES	Governance/GOV-005_REVIEW_STANDARD.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-193	KNW-006	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-194	KNW-007	REP-008	REFERENCES	Repository/REP-008_REPOSITORY_BASELINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-195	KNW-007	REP-009	REFERENCES	Repository/REP-009_REPOSITORY_TRACEABILITY.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-196	KNW-007	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-197	KNW-008	REP-009	REFERENCES	Repository/REP-009_REPOSITORY_TRACEABILITY.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-198	KNW-008	ARC-003	REFERENCES	Architecture/ARC-003_INFORMATION_FLOW.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-199	KNW-008	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-200	KNW-009	MEM-001	REFERENCES	Memory/MEM-001_MEMORY_MODEL.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-201	KNW-009	MEM-004	REFERENCES	Memory/MEM-004_MEMORY_LIFECYCLE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-202	KNW-009	MEM-005	REFERENCES	Memory/MEM-005_MEMORY_GOVERNANCE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-203	KNW-009	MEM-009	REFERENCES	Memory/MEM-009_MEMORY_EVOLUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-204	KNW-009	ENG-007	REFERENCES	Engine/ENG-007_LEARNING_ENGINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-205	KNW-010	REP-010	REFERENCES	Repository/REP-010_RELEASE_BASELINE.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
REL-206	KNW-010	CORE-003	REFERENCES	Core/CORE-003_CONSTITUTION.md	DIRECT_RELATED_DOCUMENTS	P13_CROSS_LAYER_DOCUMENTARY_NON_DEPENDENCY
