id	source	target	type	evidence_class	state
REL-124	KNW-001	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-125	KNW-001	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-126	KNW-001	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-127	KNW-001	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-128	KNW-002	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-129	KNW-002	KNW-004	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-130	KNW-002	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-131	KNW-002	KNW-009	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-132	KNW-003	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-133	KNW-003	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-134	KNW-004	KNW-001	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-135	KNW-004	KNW-002	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-136	KNW-004	KNW-003	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
REL-137	KNW-004	KNW-005	REFERENCES	DIRECT_RELATED_DOCUMENTS	P13_INTERNAL_KNOWLEDGE_DOCUMENTARY_NON_DEPENDENCY
