candidate_id	source_path	target_path	controlled_type	source_section	source_state	authority_disposition	registry_action
P12-BR-001	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-003_DOCUMENT_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-002	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-004_MEMORY_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-003	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-004	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-002_ENTITY_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-005	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-004_MEMORY_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-006	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-007	Models/MOD-004_MEMORY_MODEL.md	Models/MOD-002_ENTITY_MODEL.md	DEPENDS_ON	Semantic Dependencies	DIRECT_SOURCE_AND_TARGET_VERIFIED	SEMANTIC_MODEL_COMPOSITION_QUALIFIED	REGISTRATION_CANDIDATE
P12-BR-008	Models/MOD-004_MEMORY_MODEL.md	Models/MOD-003_DOCUMENT_MODEL.md	DEPENDS_ON	Semantic Dependencies	DIRECT_SOURCE_AND_TARGET_VERIFIED	SEMANTIC_MODEL_COMPOSITION_QUALIFIED	REGISTRATION_CANDIDATE
P12-BR-009	Models/MOD-004_MEMORY_MODEL.md	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	DEPENDS_ON	Semantic Dependencies	DIRECT_SOURCE_AND_TARGET_VERIFIED	SEMANTIC_MODEL_COMPOSITION_QUALIFIED	REGISTRATION_CANDIDATE
P12-BR-010	Models/MOD-004_MEMORY_MODEL.md	Architecture/ARC-009_ARCHITECTURE_DECISIONS.md	REFERENCES	Related Authority and Evolution References	DIRECT_SOURCE_AND_TARGET_VERIFIED	ARCHITECTURE_REVIEW_REFERENCE_NON_DEPENDENCY	REGISTRATION_CANDIDATE
P12-BR-011	Models/MOD-004_MEMORY_MODEL.md	Architecture/ARC-010_EVOLUTION_MODEL.md	REFERENCES	Related Authority and Evolution References	DIRECT_SOURCE_AND_TARGET_VERIFIED	ARCHITECTURE_REVIEW_REFERENCE_NON_DEPENDENCY	REGISTRATION_CANDIDATE
P12-BR-012	Models/MOD-004_MEMORY_MODEL.md	Runtime/RUN-004_CONTEXT_LOADING.md	NONE	Downstream Consumers / Revalidation Targets	DIRECT_SOURCE_AND_TARGET_VERIFIED	RIPPLE_REVIEW_TARGET_NON_DEPENDENCY	DO_NOT_REGISTER
P12-BR-013	Models/MOD-004_MEMORY_MODEL.md	Runtime/RUN-008_RUNTIME_STATE.md	NONE	Downstream Consumers / Revalidation Targets	DIRECT_SOURCE_AND_TARGET_VERIFIED	RIPPLE_REVIEW_TARGET_NON_DEPENDENCY	DO_NOT_REGISTER
P12-BR-014	Models/MOD-004_MEMORY_MODEL.md	Runtime/RUN-009_RECOVERY.md	NONE	Downstream Consumers / Revalidation Targets	DIRECT_SOURCE_AND_TARGET_VERIFIED	RIPPLE_REVIEW_TARGET_NON_DEPENDENCY	DO_NOT_REGISTER
P12-BR-015	Models/MOD-004_MEMORY_MODEL.md	Engine/ENG-007_LEARNING_ENGINE.md	NONE	Downstream Consumers / Revalidation Targets	DIRECT_SOURCE_AND_TARGET_VERIFIED	RIPPLE_REVIEW_TARGET_NON_DEPENDENCY	DO_NOT_REGISTER
P12-BR-016	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	Models/MOD-002_ENTITY_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-017	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	Models/MOD-003_DOCUMENT_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
P12-BR-018	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	Models/MOD-004_MEMORY_MODEL.md	REFERENCES	Related Documents	DIRECT_SOURCE_AND_TARGET_VERIFIED	DOCUMENTARY_REFERENCE_BOUNDED	REGISTRATION_CANDIDATE
