candidate_id	source_path	target_path	controlled_type	evidence_class	authority_disposition	registry_action
P12-E-001	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-003_DOCUMENT_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-E-002	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-004_MEMORY_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-E-003	Models/MOD-002_ENTITY_MODEL.md	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-E-004	Models/MOD-002_ENTITY_MODEL.md	Architecture/ARC-002_COMPONENT_ARCHITECTURE.md	REFERENCES	RELATED_DOCUMENTS_AND_OWNERSHIP_BOUNDARY	ARCHITECTURE_REFERENCE_NON_OWNERSHIP	REGISTRATION_CANDIDATE
P12-E-005	Models/MOD-002_ENTITY_MODEL.md	Architecture/ARC-006_DEPENDENCY_MODEL.md	REFERENCES	RELATED_DOCUMENTS_AND_DEPENDENCY_BOUNDARY	ARCHITECTURE_REFERENCE_NON_DEPENDENCY	REGISTRATION_CANDIDATE
P12-E-006	Models/MOD-002_ENTITY_MODEL.md	Architecture/ARC-009_ARCHITECTURE_DECISIONS.md	REFERENCES	RELATED_DOCUMENTS	ARCHITECTURE_REVIEW_REFERENCE	REGISTRATION_CANDIDATE
P12-E-007	Models/MOD-002_ENTITY_MODEL.md	Architecture/ARC-010_EVOLUTION_MODEL.md	REFERENCES	RELATED_DOCUMENTS	ARCHITECTURE_REVIEW_REFERENCE	REGISTRATION_CANDIDATE
P12-E-008	Models/MOD-002_ENTITY_MODEL.md	Governance/GOV-004_DOCUMENT_METADATA.md	REFERENCES	RELATED_DOCUMENTS	GOVERNANCE_METADATA_REFERENCE	REGISTRATION_CANDIDATE
P12-E-009	Models/MOD-002_ENTITY_MODEL.md	Governance/GOV-012_DOMAIN_RECONSTRUCTION_STANDARD.md	REFERENCES	RELATED_DOCUMENTS	RECONSTRUCTION_REFERENCE_NON_DEPENDENCY	REGISTRATION_CANDIDATE
P12-E-010	Models/MOD-002_ENTITY_MODEL.md	Repository/REP-001_MASTER_INDEX.md	NONE	GENERIC_REVALIDATION_CLASS_PLUS_INDEX_MEMBERSHIP	INVENTORY_NON_RELATIONSHIP	DO_NOT_REGISTER
P12-E-011	Models/MOD-002_ENTITY_MODEL.md	Repository/REP-002_REPOSITORY_MAP.md	NONE	GENERIC_REVALIDATION_CLASS_PLUS_PHYSICAL_MAPPING	MAPPING_NON_RELATIONSHIP	DO_NOT_REGISTER
P12-E-012	Models/MOD-002_ENTITY_MODEL.md	Interfaces/*;Services/*;Runtime/*	NONE	GENERIC_CONSUMER_CLASS_WITHOUT_CURRENT_CONCRETE_ENDPOINT	NO_CONCRETE_EDGE_PROVEN	HOLD_NO_REGISTRATION
