candidate_id	source_path	target_path	controlled_type	evidence_class	authority_disposition	registry_action
P12-F-001	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-002_ENTITY_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-F-002	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-004_MEMORY_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-F-003	Models/MOD-003_DOCUMENT_MODEL.md	Models/MOD-011_KNOWLEDGE_SOURCE_MODEL.md	REFERENCES	RELATED_DOCUMENTS	MODEL_DOCUMENTARY_REFERENCE	REGISTRATION_CANDIDATE
P12-F-004	Models/MOD-003_DOCUMENT_MODEL.md	Governance/GOV-004_DOCUMENT_METADATA.md	REFERENCES	RELATED_DOCUMENTS	GOVERNANCE_METADATA_REFERENCE_NON_REVERSE	REGISTRATION_CANDIDATE
P12-F-005	Models/MOD-003_DOCUMENT_MODEL.md	Governance/GOV-012_DOMAIN_RECONSTRUCTION_STANDARD.md	REFERENCES	RELATED_DOCUMENTS	RECONSTRUCTION_REFERENCE_NON_DEPENDENCY	REGISTRATION_CANDIDATE
P12-F-006	Models/MOD-003_DOCUMENT_MODEL.md	Repository/REP-001_MASTER_INDEX.md	REFERENCES	RELATED_DOCUMENTS	DIRECT_SOURCE_REFERENCE_NOT_INDEX_DERIVATION	REGISTRATION_CANDIDATE
P12-F-007	Models/MOD-003_DOCUMENT_MODEL.md	Repository/REP-002_REPOSITORY_MAP.md	REFERENCES	RELATED_DOCUMENTS	DIRECT_SOURCE_REFERENCE_NOT_MAPPING_DERIVATION	REGISTRATION_CANDIDATE
P12-F-008	Models/MOD-003_DOCUMENT_MODEL.md	Architecture/ARC-009_ARCHITECTURE_DECISIONS.md	REFERENCES	RELATED_DOCUMENTS	ARCHITECTURE_REVIEW_REFERENCE	REGISTRATION_CANDIDATE
P12-F-009	Models/MOD-003_DOCUMENT_MODEL.md	Architecture/ARC-010_EVOLUTION_MODEL.md	REFERENCES	RELATED_DOCUMENTS	ARCHITECTURE_REVIEW_REFERENCE	REGISTRATION_CANDIDATE
P12-F-010	Models/MOD-003_DOCUMENT_MODEL.md	Runtime/*;Templates/*;Quality/*	NONE	GENERIC_RIPPLE_CLASS_WITHOUT_CURRENT_CONCRETE_ENDPOINT	NO_CONCRETE_CONSUMER_EDGE_PROVEN	HOLD_NO_REGISTRATION
