path	domain	artifact_class	allocation_state	authority_effect
Interfaces/INTF-001_INTERFACE_SPEC.md	Interfaces	CANONICAL_INTERFACE_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-002_GITHUB.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-003_DATABASE.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-004_API.md	Interfaces	CANONICAL_INTERFACE_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-005_LLM.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-006_ENVIRONMENT_SENSING.md	Interfaces	CANDIDATE_CANONICAL_INTERFACE_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-006_WEB.md	Interfaces	LEGACY_NONCANONICAL_PROVENANCE	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-007_USER_INTERFACE.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-008_CONNECTORS.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-009_IMPORT_EXPORT.md	Interfaces	INTERFACE_ARTIFACT_UNPROMOTED	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/INTF-010_INTEGRATIONS.md	Interfaces	CANONICAL_INTERFACE_CONTRACT	ALLOCATED	NONE_BY_ALLOCATION
Interfaces/_FOLDER_STATUS.md	Interfaces	STATUS_EVIDENCE	ALLOCATED	NONE_BY_ALLOCATION
